ID,SMILES_NS,y1,y2,y3,y4,y5
26428487,C=C(F)C(=O)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,5.23,,,,
26428504,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OC,5.8,,,,
26428505,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCC,4.44,,,,
26428486,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,4.54,,,,
26428506,C=C(F)C(=O)Nc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cc1OC,5.42,,,,
26428507,C=C(F)C(=O)Nc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cc1OCC,4.66,,,,
26428485,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCCN1CCOCC1,5.35,,,,
8864754,C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.57,,,,
9931683,C=C1C(=O)O[C@@H](CCCCCCCC)[C@@H]1C(=O)O,4.53,,,,
11147296,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(NCC(=O)O)C1=O,3.31,,,,
30260464,C=C1c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2CC1NC(=O)/C=C/CN(C)C,8.22,,,,
8861559,C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.92,,,,
25801344,C=CC(=O)C1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCCOC,8.15,,,,
24889722,C=CC(=O)C1C[C@@H](C2CC2)[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c23)C1,5.63,,,,
24889724,C=CC(=O)C1C[C@@H](CC(F)(F)F)[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c23)C1,5.71,,,,
28226403,C=CC(=O)N(C)C1CC(Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,6.14,,,,
28226401,C=CC(=O)N(C)C1CC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,6.16,,,,
23465221,C=CC(=O)N(C)C1CC(Oc2nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c23)C1,5.77,,,,
23465254,C=CC(=O)N(C)[C@H]1C[C@H](Nc2nc(Nc3cn(C)nc3C)nc3[nH]cc(Cl)c23)C1,7.57,,,,
24889735,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(Nc3cn(C)nc3C)nc3[nH]cc(-c4ccccc4)c23)C1,5.21,,,,
23465222,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(Nc3cn(C)nc3C)nc3[nH]cc(Cl)c23)C1,8.0,,,,
23465247,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(Nc3cnn(C)c3)nc3[nH]cc(-c4ccccn4)c23)C1,5.78,,,,
8857157,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.77,,,,
8659768,C=CC(=O)N(C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,7.06,,,,
26230284,C=CC(=O)N(CCCC1COCCN1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.48,,,,
8877587,C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,6.81,,,,
13936202,C=CC(=O)N(CCCN1CCOCC1)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.05,,,,
8877087,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.48,,,,
8868015,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.38,,,,
31617176,C=CC(=O)N1C=CC[C@@H](n2nc(C(=O)Nc3ccc(OC(=O)N(C)OC)cc3C)c3c(N)ncnc32)C1,5.93,,,,
28226463,C=CC(=O)N1CC(F)C(Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C)c3n2)C1,6.92,,,,
31617180,C=CC(=O)N1CC(F)C[C@@H](n2nc(C(=O)Nc3ccc(CC(=O)N(C)C)cc3Cl)c3c(N)ncnc32)C1,5.68,,,,
23465260,C=CC(=O)N1CC(Oc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,7.43,,,,
31528368,C=CC(=O)N1CC(c2cc3cc(C4CC4)ccc3c(=O)n2-c2cccc(-c3ccnc(N)c3)c2Cl)C1,5.49,,,,
28226458,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)(C)C)c4n3)CC2C1,5.34,,,,
28226339,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)C)c4n3)CC2(OC)C1,6.9,,,,
28226417,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)C)c4n3)CC2C1,6.74,,,,
28226394,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C)c4n3)CC2C1,6.49,,,,
28226326,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C(C)C)c4n3)CC2(F)C1,7.04,,,,
28226409,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C(C)C)c4n3)CC2C1,6.09,,,,
28226392,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C)c4n3)CC2C1,5.57,,,,
28226454,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(CC)c4n3)CC2C1,6.29,,,,
18796427,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,8.77,,,,
27490480,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,6.22,,,,
27661559,C=CC(=O)N1CCCC(c2nc(-c3ccc(Oc4ccccc4)cc3)c(C(N)=O)[nH]2)C1,6.92,,,,
13102237,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,7.18,,,,
24646542,C=CC(=O)N1CCCCC(n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,5.36,,,,
24646730,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CCN(C)C(=O)C4)cc(C)c32)C1,7.04,,,,
24646706,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@@H](OC)C4)cc(C)c32)C1,6.51,,,,
24646707,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@H](F)C4)cc(C)c32)C1,7.17,,,,
24646725,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@H](OC)C4)ccc32)C1,6.28,,,,
24646538,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3ccc(OCCN4CCCC4)c(Cl)c32)C1,6.86,,,,
27252389,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cccc(C(=O)OC)c32)C1,5.7,,,,
